院校名称,院校代码,所在地区,院校主管部门,院校层次,院校满意度
中国人民大学,10002,北京,教育部,本科,4.6
清华大学,10003,北京,教育部,本科,4.7
北京交通大学,10004,北京,教育部,本科,4.4
北京工业大学,10005,北京,北京市教育委员会,本科,4.3
北京航空航天大学,10006,北京,工业和信息化部,本科,4.3
北京理工大学,10007,北京,工业和信息化部,本科,4.4
北京科技大学,10008,北京,教育部,本科,4.5
北方工业大学,10009,北京,北京市教育委员会,本科,4.5
北京化工大学,10010,北京,教育部,本科,4.0
北京工商大学,10011,北京,北京市教育委员会,本科,4.2
北京服装学院,10012,北京,北京市教育委员会,本科,4.1
北京邮电大学,10013,北京,教育部,本科,4.2
北京印刷学院,10015,北京,北京市教育委员会,本科,4.2
北京建筑大学,10016,北京,北京市教育委员会,本科,4.1
北京石油化工学院,10017,北京,北京市教育委员会,本科,3.7
北京电子科技学院,10018,北京,中共中央办公厅,本科,4.4
中国农业大学,10019,北京,教育部,本科,4.6
北京农学院,10020,北京,北京市教育委员会,本科,3.9
北京林业大学,10022,北京,教育部,本科,4.3
北京协和医学院,10023,北京,国家卫生健康委员会,本科,N/A
清华大学,10003,北京,教育部,本科,4.7
北京交通大学,10004,北京,教育部,本科,4.4
北京工业大学,10005,北京,北京市教育委员会,本科,4.3
北京航空航天大学,10006,北京,工业和信息化部,本科,4.3
北京理工大学,10007,北京,工业和信息化部,本科,4.4
北京科技大学,10008,北京,教育部,本科,4.5
北方工业大学,10009,北京,北京市教育委员会,本科,4.5
北京化工大学,10010,北京,教育部,本科,4.0
北京工商大学,10011,北京,北京市教育委员会,本科,4.2
北京服装学院,10012,北京,北京市教育委员会,本科,4.1
北京邮电大学,10013,北京,教育部,本科,4.2
北京印刷学院,10015,北京,北京市教育委员会,本科,4.2
北京建筑大学,10016,北京,北京市教育委员会,本科,4.1
北京石油化工学院,10017,北京,北京市教育委员会,本科,3.7
北京电子科技学院,10018,北京,中共中央办公厅,本科,4.4
中国农业大学,10019,北京,教育部,本科,4.6
北京农学院,10020,北京,北京市教育委员会,本科,3.9
北京林业大学,10022,北京,教育部,本科,4.3
北京协和医学院,10023,北京,国家卫生健康委员会,本科,N/A
首都医科大学,10025,北京,北京市教育委员会,本科,3.8
北京交通大学,10004,北京,教育部,本科,4.4
北京工业大学,10005,北京,北京市教育委员会,本科,4.3
北京航空航天大学,10006,北京,工业和信息化部,本科,4.3
北京理工大学,10007,北京,工业和信息化部,本科,4.4
北京科技大学,10008,北京,教育部,本科,4.5
北方工业大学,10009,北京,北京市教育委员会,本科,4.5
北京化工大学,10010,北京,教育部,本科,4.0
北京工商大学,10011,北京,北京市教育委员会,本科,4.2
北京服装学院,10012,北京,北京市教育委员会,本科,4.1
北京邮电大学,10013,北京,教育部,本科,4.2
北京印刷学院,10015,北京,北京市教育委员会,本科,4.2
北京建筑大学,10016,北京,北京市教育委员会,本科,4.1
北京石油化工学院,10017,北京,北京市教育委员会,本科,3.7
北京电子科技学院,10018,北京,中共中央办公厅,本科,4.4
中国农业大学,10019,北京,教育部,本科,4.6
北京农学院,10020,北京,北京市教育委员会,本科,3.9
北京林业大学,10022,北京,教育部,本科,4.3
北京协和医学院,10023,北京,国家卫生健康委员会,本科,N/A
首都医科大学,10025,北京,北京市教育委员会,本科,3.8
北京中医药大学,10026,北京,教育部,本科,3.6
北京工业大学,10005,北京,北京市教育委员会,本科,4.3
